"Ticker","Mean_Return","Std_Dev","Min_Return","Max_Return","Skewness","Kurtosis"
"NVDA",0.2593,2.8716,-18.76,29.81,0.61,13.16
"TSLA",0.2443,3.4746,-21.06,19.89,0.22,5.94
"NFLX",0.1934,2.6743,-13.13,19.03,0.68,7.3
"AMZN",0.175,1.9519,-7.92,14.13,0.76,7.16
"AAPL",0.1283,1.8667,-12.86,11.98,-0.08,6.58
"MSFT",0.1265,1.7527,-14.74,14.22,0.12,10.7
"UNH",0.1044,1.7604,-17.28,12.8,-0.07,13.68
"V",0.0947,1.6069,-13.55,13.84,0.18,11.68
"GOOGL",0.0935,1.6875,-11.63,16.26,0.44,10.6
"COST",0.084,1.3093,-8.59,9.96,0.06,8.41
"CAT",0.0763,1.9239,-14.28,10.33,-0.39,4.91
"JPM",0.0747,1.8479,-14.96,18.01,0.39,15.9
"BAC",0.0645,2.1117,-15.4,17.8,0.29,11.58
"DIS",0.0627,1.7035,-12.98,14.41,0.77,15.91
"WMT",0.0532,1.3874,-10.18,11.71,0.76,16.28
"JNJ",0.0454,1.2187,-10.04,8,-0.33,10.78
"PFE",0.0383,1.3858,-7.73,8.96,0.06,6.35
"CVX",0.0187,2.0186,-22.12,22.74,-0.2,27.66
"F",0.0039,2.0189,-11.01,23.44,0.87,16.72
"XOM",-0.0206,1.7461,-12.22,12.69,0.18,10.24
